year,state,cityname,population2010,bingedrinking,smokingrate,nophysicalactivity,obesityrate,sleepdeprivation
2014,LA,New Orleans,343829,17.3,23.6,28.2,34.4,38.5
2014,LA,Shreveport,199311,15.7,25.9,31.7,37.1,40.7
2014,MA,Boston,617594,17.7,17.4,21.6,26.0,36.8
2014,MA,Brockton,93810,16.4,26.0,28.8,35.9,45.7
2014,MA,Cambridge,105162,17.4,12.1,17.7,23.3,33.5
2014,MA,Fall River,88857,17.4,28.6,28.8,32.5,43.9
2014,MA,Lawrence,76377,15.1,20.9,34.9,35.9,42.5
2014,MA,Lowell,106519,16.1,19.9,27.8,26.7,38.6
2014,MA,Lynn,90329,16.6,21.3,28.7,31.6,41.7
2014,MA,New Bedford,95072,16.9,27.9,29.5,33.6,44.5
2014,MA,Newton,85146,19.2,10.7,14.9,20.4,31.2
2014,MA,Quincy,92271,16.5,16.8,21.4,21.9,36.9
2014,MA,Somerville,75754,18.1,14.9,20.2,24.8,34.2
2014,MA,Springfield,153060,15.1,24.4,33.3,33.1,43.5
2014,MA,Worcester,181045,16.0,21.4,24.9,31.1,40.4
2014,MD,Baltimore,620961,13.9,23.2,26.3,35.6,44.4
2014,ME,Portland,66194,18.0,16.1,18.0,26.2,30.3
2014,MI,Ann Arbor,113934,18.7,13.1,16.8,26.4,31.0
2014,MI,Dearborn,98153,19.4,25.8,25.6,31.2,38.8
2014,MI,Detroit,713777,13.5,29.8,36.4,45.2,50.8
2014,MI,Farmington Hills,79740,19.8,14.2,18.1,26.4,35.6
2014,MI,Flint,102434,14.8,28.5,36.4,42.7,44.0
2014,MI,Grand Rapids,188040,18.9,20.5,27.0,35.1,35.8
2014,MI,Kalamazoo,74262,17.7,21.6,26.3,41.2,35.5
2014,MI,Lansing,114297,17.7,22.5,28.2,36.1,36.4
2014,MI,Livonia,96942,22.7,18.4,18.2,25.7,35.5
2014,MI,Rochester Hills,70995,21.0,14.1,17.3,24.7,34.1
2014,MI,Southfield,71739,16.5,17.6,23.6,36.7,43.5
2014,MI,Sterling Heights,129699,20.6,22.9,24.7,30.9,36.2
2014,MI,Troy,80980,19.9,13.3,17.6,23.2,34.2
2014,MI,Warren,134056,19.3,27.2,29.0,34.9,38.7
2014,MI,Westland,84094,19.8,24.0,24.6,31.0,40.1
2014,MI,Wyoming,72125,20.4,20.4,26.3,32.6,34.7
2014,MN,Bloomington,82893,21.1,15.5,17.5,23.1,29.0
2014,MN,Brooklyn Park,75781,18.4,17.5,21.3,25.4,32.4
2014,MN,Duluth,86265,21.2,22.0,21.5,30.1,31.1
2014,MN,Minneapolis,382578,19.1,17.4,20.6,26.7,30.7
2014,MN,Plymouth,70576,21.6,12.6,14.4,20.9,26.9
2014,MN,Rochester,106769,21.1,15.0,18.5,27.1,29.5
2014,MN,St. Paul,285068,18.0,19.7,22.6,29.6,31.2
2014,MO,Columbia,108500,15.6,18.3,21.3,29.2,30.0
2014,MO,Independence,116830,15.9,25.0,25.4,32.2,33.7
2014,MO,Kansas City,459787,14.7,22.3,25.7,34.7,35.6
2014,MO,Lee's Summit,91364,17.4,17.6,18.0,27.5,30.4
2014,MO,O'Fallon,79329,17.6,17.8,20.5,24.9,32.4
2014,MO,Springfield,159498,15.1,24.4,26.2,35.9,34.6
2014,MO,St. Joseph,76780,15.6,24.8,27.9,32.4,37.9
2014,MO,St. Louis,319294,14.9,24.9,27.6,37.0,39.0
2014,MS,Gulfport,67793,13.7,24.1,30.7,34.6,38.9
2014,MS,Jackson,173514,11.4,23.4,33.0,40.6,43.6
2014,MT,Billings,104170,19.6,21.6,20.3,27.6,30.0
2014,MT,Missoula,66788,20.1,18.3,17.1,25.5,29.4
2014,NC,Asheville,83393,14.9,19.0,20.1,26.4,30.3
2014,NC,Cary,135234,15.9,12.8,14.4,21.2,27.9
2014,NC,Charlotte,731424,14.7,16.8,20.5,27.8,34.0
2014,NC,Concord,79066,14.0,20.1,22.5,28.2,33.5
2014,NC,Durham,228330,13.2,17.0,22.8,31.3,33.5
2014,NC,Fayetteville,200564,13.3,21.0,24.1,34.6,39.9
2014,NC,Gastonia,71741,13.3,24.8,28.3,32.6,38.7
2014,NC,Greensboro,269666,13.6,19.8,22.7,32.8,35.0
2014,NC,Greenville,84554,12.4,20.4,24.6,32.0,35.7
2014,NC,High Point,104371,13.6,21.5,24.6,32.7,35.2
2014,NC,Jacksonville,70145,14.6,21.5,24.2,31.6,36.7
2014,NC,Raleigh,403892,14.5,16.7,18.6,27.4,31.7
2014,NC,Wilmington,106476,15.1,18.8,20.5,28.2,32.5
2014,NC,Winston-Salem,229617,12.7,20.5,24.8,34.8,36.3
2014,ND,Fargo,105549,23.0,17.7,18.9,31.7,29.0
2014,NE,Lincoln,258379,21.8,18.6,18.8,27.8,30.7
2014,NE,Omaha,408958,20.9,20.4,22.3,30.6,32.8
2014,NH,Manchester,109565,16.4,19.8,21.6,31.2,36.5
2014,NH,Nashua,86494,16.5,17.6,19.8,29.4,35.5
2014,NJ,Camden,77344,12.1,24.9,41.6,42.2,50.8
2014,NJ,Clifton,84136,18.8,16.5,23.3,25.9,38.6
2014,NJ,Elizabeth,124969,14.7,21.1,33.2,32.7,43.4
2014,NJ,Jersey City,247597,15.0,16.2,28.6,25.4,43.7
2014,NJ,Newark,277140,13.3,24.0,35.8,37.6,48.0
2014,NJ,Passaic,69781,14.8,21.6,37.3,35.6,43.6
2014,NJ,Paterson,146199,14.5,22.2,36.3,37.3,45.7
2014,NJ,Trenton,84913,14.1,27.0,34.8,39.3,45.3
2014,NJ,Union City,66455,16.0,18.0,36.0,31.4,43.2
2014,NM,Albuquerque,545852,14.5,18.8,20.4,25.5,32.8
2014,NM,Las Cruces,97618,15.7,17.9,21.1,28.8,32.2
2014,NM,Rio Rancho,87521,16.2,16.2,18.3,25.0,31.9
2014,NM,Santa Fe,67947,14.3,16.0,17.0,19.4,27.1
2014,NV,Henderson,257729,17.6,17.7,20.5,26.1,36.2
2014,NV,Las Vegas,583756,15.9,20.4,26.2,30.3,38.9
2014,NV,North Las Vegas,216961,14.9,21.4,29.0,32.4,41.0
2014,NV,Reno,225221,19.0,19.3,20.3,22.8,33.7
2014,NV,Sparks,90264,19.4,19.3,20.5,22.6,33.9
2014,NY,Albany,97856,15.5,19.0,26.1,31.1,39.7
2014,NY,Buffalo,261310,15.6,22.8,31.2,36.3,43.6
2014,NY,Mount Vernon,67292,14.2,18.0,28.0,33.5,46.7
2014,NY,New Rochelle,77062,16.8,14.4,23.3,26.7,39.9
2014,NY,New York,8175133,15.5,16.8,28.8,26.3,41.0
2014,NY,Rochester,210565,14.3,22.8,30.1,38.6,42.4
2014,NY,Schenectady,66135,16.0,23.2,28.6,32.5,41.6
2014,NY,Syracuse,145170,14.8,24.1,30.7,33.7,39.7
2014,NY,Yonkers,195976,16.0,16.0,26.5,28.2,41.2
2014,OH,Akron,199110,14.8,26.8,31.0,37.3,44.1
2014,OH,Canton,73007,15.6,28.1,32.6,38.6,41.5
2014,OH,Cincinnati,296943,15.9,24.0,27.0,36.5,38.9
2014,OH,Cleveland,396815,15.2,27.9,34.2,42.1,45.4
2014,OH,Columbus,787033,17.0,21.7,27.0,35.0,40.2
2014,OH,Dayton,141527,13.6,28.7,32.2,47.2,45.7
2014,OH,Parma,81601,21.3,21.9,22.6,29.8,36.5
2014,OH,Toledo,287208,17.4,25.5,32.5,41.0,40.2
2014,OH,Youngstown,66982,14.4,30.2,36.5,43.8,46.0
2014,OK,Broken Arrow,98850,15.3,18.2,23.0,27.2,33.9
2014,OK,Edmond,81405,15.2,15.4,20.1,26.8,31.8
2014,OK,Lawton,96867,12.7,23.3,31.3,35.4,39.3
2014,OK,Norman,110925,14.3,19.6,26.3,30.6,34.0
2014,OK,Oklahoma City,579999,13.4,20.5,28.5,32.4,35.9
2014,OK,Tulsa,391906,13.4,21.4,28.1,31.7,36.6
2014,OR,Beaverton,89803,17.3,14.4,15.3,25.1,32.2
2014,OR,Bend,76639,20.1,16.0,14.6,26.1,30.0
