Year,StateAbbr,CityName,Population2010,CityFIPS,Binge drinking among adults aged >=18 Years,Current smoking among adults aged >=18 Years,No leisure-time physical activity among adults aged >=18 Years,Obesity among adults aged >=18 Years,Sleeping less than 7 hours among adults aged >=18 Years
2014,FL,Lauderhill,66887,1239550,13.5,22.6,29.4,34.7,45.8
2014,FL,Melbourne,76068,1243975,20.5,21.6,22.7,25.0,37.8
2014,FL,Miami,399457,1245000,14.3,18.9,32.8,32.1,37.4
2014,FL,Miami Beach,87779,1245025,17.0,15.1,23.4,25.8,32.8
2014,FL,Miami Gardens,107167,1245060,12.9,21.9,31.4,35.5,43.7
2014,FL,Miramar,122041,1245975,16.2,14.6,22.4,27.5,39.6
2014,FL,Orlando,238300,1253000,16.8,18.9,26.3,28.6,36.0
2014,FL,Palm Bay,103190,1254000,19.6,23.1,24.9,27.0,39.5
2014,FL,Palm Coast,75180,1254200,18.5,20.8,23.2,26.1,35.6
2014,FL,Pembroke Pines,154750,1255775,17.6,13.8,21.0,24.7,36.5
2014,FL,Plantation,84955,1257425,18.3,14.6,19.0,23.7,35.7
2014,FL,Pompano Beach,99845,1258050,16.5,21.8,26.6,29.4,40.0
2014,FL,Port St. Lucie,164603,1258715,18.8,21.2,23.4,27.3,37.1
2014,FL,St. Petersburg,244769,1263000,19.5,22.3,21.5,29.0,38.3
2014,FL,Sunrise,84439,1269700,16.9,17.2,23.5,27.1,38.9
2014,FL,Tallahassee,181376,1270600,17.4,18.9,21.7,28.7,36.6
2014,FL,Tampa,335709,1271000,17.5,19.9,23.3,30.6,37.9
2014,FL,West Palm Beach,99919,1276600,16.1,19.5,24.9,27.2,40.6
2014,GA,Albany,77434,1301052,10.9,23.7,33.1,40.4,46.9
2014,GA,Athens,115452,1303440,13.2,18.9,26.5,32.2,38.5
2014,GA,Atlanta,420003,1304000,14.1,16.6,22.4,31.6,40.4
2014,GA,Augusta,195844,1304204,12.5,21.8,28.1,36.0,44.1
2014,GA,Columbus,189885,1319000,13.5,20.3,25.8,33.2,42.9
2014,GA,Johns Creek,76728,1342425,15.8,10.1,14.1,19.0,32.9
2014,GA,Macon,91351,1349000,11.2,25.9,34.5,42.9,46.0
2014,GA,Roswell,88346,1367284,16.9,12.2,15.7,23.3,33.4
2014,GA,Sandy Springs,93853,1368516,15.8,12.3,15.9,24.2,34.3
2014,GA,Savannah,136286,1369000,13.5,21.0,26.9,36.0,44.6
2014,GA,Warner Robins,66588,1380508,13.3,19.3,26.9,33.6,40.7
2014,HI,Honolulu,953207,15003,19.0,15.5,22.2,22.1,48.0
2014,IA,Cedar Rapids,126326,1912000,20.5,18.7,23.1,32.0,29.0
2014,IA,Davenport,99685,1919000,20.9,20.9,23.4,33.3,33.2
2014,IA,Des Moines,203433,1921000,18.3,22.9,25.2,32.6,31.3
2014,IA,Iowa City,67862,1938595,20.1,16.3,19.9,28.5,27.4
2014,IA,Sioux City,82684,1973335,19.7,22.8,27.7,35.5,33.2
2014,IA,Waterloo,68406,1982425,21.1,21.6,25.3,35.3,33.5
2014,ID,Boise City,205671,1608830,15.8,16.4,16.4,25.8,28.9
2014,ID,Meridian,75092,1652120,16.6,15.9,15.5,24.8,28.5
2014,ID,Nampa,81557,1656260,14.2,21.0,23.3,35.1,34.3
2014,IL,Arlington Heights,75101,1702154,23.6,14.1,17.0,21.5,30.2
2014,IL,Aurora,197899,1703012,18.5,17.6,27.0,32.0,35.5
2014,IL,Bloomington,76610,1706613,19.5,16.9,21.7,29.1,33.1
2014,IL,Bolingbrook,73366,1707133,19.2,16.2,23.8,31.8,37.8
2014,IL,Champaign,81055,1712385,18.6,16.8,22.4,30.2,33.6
2014,IL,Chicago,2695598,1714000,18.7,19.1,27.6,31.3,37.4
2014,IL,Cicero,83891,1714351,18.5,19.9,34.8,33.9,37.1
2014,IL,Decatur,76122,1718823,18.4,23.4,28.1,35.3,36.6
2014,IL,Elgin,108188,1723074,19.7,17.7,25.8,30.8,35.1
2014,IL,Evanston,74486,1724582,20.9,13.6,18.0,24.0,32.0
2014,IL,Joliet,147433,1738570,19.8,19.5,26.4,35.2,38.1
2014,IL,Naperville,141853,1751622,20.6,11.3,15.9,22.7,30.5
2014,IL,Palatine,68557,1757225,22.2,14.9,19.3,22.8,31.4
2014,IL,Peoria,115007,1759000,18.4,20.0,25.6,34.2,37.1
2014,IL,Rockford,152871,1765000,18.0,22.4,31.1,37.5,37.3
2014,IL,Schaumburg,74227,1768003,21.6,14.4,19.1,21.1,32.1
2014,IL,Springfield,116250,1772000,19.1,19.9,24.7,32.2,34.8
2014,IL,Waukegan,89078,1779293,16.4,20.3,32.6,35.6,37.3
2014,IN,Bloomington,80405,1805860,13.9,19.8,23.1,29.0,35.1
2014,IN,Carmel,79191,1810342,17.1,11.8,15.0,24.6,29.0
2014,IN,Evansville,117429,1822000,15.8,25.3,28.9,35.1,39.3
2014,IN,Fishers,76794,1823278,17.5,12.6,15.4,25.7,29.6
2014,IN,Fort Wayne,253691,1825000,14.9,23.7,26.2,33.4,36.3
2014,IN,Gary,80294,1827000,10.3,31.4,37.3,46.9,52.0
2014,IN,Hammond,80830,1831000,13.7,27.2,32.2,37.5,43.6
2014,IN,Indianapolis,820445,1836003,14.9,23.9,27.6,34.9,39.2
2014,IN,Lafayette,67140,1840788,14.8,23.2,25.4,31.8,38.0
2014,IN,Muncie,70085,1851876,13.1,27.9,30.8,36.7,39.5
2014,IN,South Bend,101168,1871000,13.6,25.0,29.6,37.3,40.6
2014,KS,Kansas City,145786,2036000,14.3,25.2,32.2,38.2,36.5
2014,KS,Lawrence,87643,2038900,16.8,17.3,20.2,28.2,28.2
2014,KS,Olathe,125872,2052575,18.0,15.2,19.6,27.3,27.7
2014,KS,Overland Park,173372,2053775,17.9,12.9,17.1,25.3,26.4
2014,KS,Topeka,127473,2071000,14.6,24.1,26.1,34.9,31.4
2014,KS,Wichita,382368,2079000,13.9,20.8,25.8,34.3,32.7
2014,KY,Lexington,295803,2146027,12.4,23.2,26.3,30.8,37.4
2014,KY,Louisville,597337,2148006,14.6,25.5,27.8,32.9,37.8
2014,LA,Baton Rouge,229493,2205000,15.7,22.8,30.4,36.8,36.6
2014,LA,Kenner,66702,2239475,17.6,21.0,29.1,36.7,37.6
2014,LA,Lafayette,120623,2240735,17.2,23.8,27.8,34.1,35.0
2014,LA,Lake Charles,71993,2241155,15.3,28.0,32.5,36.9,39.0
2014,LA,New Orleans,343829,2255000,17.3,23.6,28.2,34.4,38.5
2014,LA,Shreveport,199311,2270000,15.7,25.9,31.7,37.1,40.7
2014,MA,Boston,617594,2507000,17.7,17.4,21.6,26.0,36.8
2014,MA,Brockton,93810,2509000,16.4,26.0,28.8,35.9,45.7
2014,MA,Cambridge,105162,2511000,17.4,12.1,17.7,23.3,33.5
2014,MA,Fall River,88857,2523000,17.4,28.6,28.8,32.5,43.9
2014,MA,Lawrence,76377,2534550,15.1,20.9,34.9,35.9,42.5
2014,MA,Lowell,106519,2537000,16.1,19.9,27.8,26.7,38.6
2014,MA,Lynn,90329,2537490,16.6,21.3,28.7,31.6,41.7
2014,MA,New Bedford,95072,2545000,16.9,27.9,29.5,33.6,44.5
2014,MA,Newton,85146,2545560,19.2,10.7,14.9,20.4,31.2
